,,,,,,,,,Inspection information,,,,,,
Children's home,24/01/2005,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Horizon Care Limited,Full inspection,21/11/2018,07/01/2019,10049769,Outstanding,Outstanding,Outstanding
Further Education College with Residential Accommodation,01/09/2004,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Lincolnshire,Scunthorpe,Voluntary,John Leggott College,Full inspection,05/02/2019,19/03/2019,10029045,Outstanding,Good,Good
Children's home,20/01/2005,Active,East Midlands,East Midlands,Derbyshire,High Peak,Local Authority,Derbyshire County Council,Full inspection,20/08/2018,06/09/2018,10049767,Good,Good,Good
Children's home,20/01/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,;Normanton, Pontefract and Castleford;,Local Authority,Wakefield Metropolitan District Council,Full inspection,09/05/2018,15/06/2018,10049768,Good,Good,Good
Children's home,10/12/2004,Active,East of England,East of England,Suffolk,South Suffolk,Private,Care Focus Limited,Full inspection,14/06/2018,05/07/2018,10049757,Good,Good,Good
Children's home,10/02/2006,Active,North West,North West,Liverpool,;Liverpool, West Derby;,Private,Considerate Care Limited,Full inspection,11/12/2018,08/01/2019,10049861,Good,Good,Good
Children's home,28/02/2005,Active,London,London,Waltham Forest,Leyton and Wanstead,Private,Mig House Residential Care Home Ltd,Full inspection,27/11/2018,02/01/2019,10049774,Outstanding,Outstanding,Outstanding
Further Education College with Residential Accommodation,14/10/2004,Active,South East,South East,Hampshire,Winchester,Voluntary,Peter Symonds College,Full inspection,16/10/2018,07/11/2018,10046859,Outstanding,Outstanding,Outstanding
Children's home,08/04/2005,Active,South East,South East,Kent,Canterbury,Private,Channels and Choices Kent LLP,Full inspection,06/03/2019,11/04/2019,10049959,Good,Good,Good
Children's home,06/01/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Colne Valley,Private,Rosedale Children's Services Limited,Full inspection,13/09/2018,05/10/2018,10049763,Good,Good,Requires improvement to be good
Independent Fostering Agency,14/08/2006,Active,South West,South West,Devon,Torridge and West Devon,Private,Regional Foster Placements Limited,Full inspection,21/05/2018,21/06/2018,10045893,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,21/03/2005,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Lifetime Opportunities Ltd,Full inspection,14/08/2018,07/09/2018,10049781,Good,Good,Requires improvement to be good
Children's home,08/03/2005,Active,East of England,East of England,Suffolk,Suffolk Coastal,Local Authority,Suffolk County Council,Full inspection,04/04/2018,20/04/2018,10049776,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,08/03/2005,Active,East of England,East of England,Suffolk,Suffolk Coastal,Local Authority,Suffolk County Council,Interim inspection,07/08/2018,30/08/2018,10051518,Declined effectiveness,,
Children's home,08/03/2005,Active,East of England,East of England,Suffolk,Suffolk Coastal,Local Authority,Suffolk County Council,Monitoring inspection,19/09/2018,01/10/2018,10078180,,,
Children's home,01/12/2004,Active,South East,South East,Kent,South Thanet,Private,Ethelbert Specialist Homes Limited,Full inspection,26/02/2019,21/03/2019,10049756,Outstanding,Outstanding,Outstanding
Children's home,22/07/2005,Active,London,London,Newham,West Ham,Private,Children Assisted in a Real Environment (care) Ltd,Full inspection,29/08/2018,02/10/2018,10049811,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential special school (registered as a children's home),25/04/2005,Active,East of England,East of England,Norfolk,South Norfolk,Private,SES Avocet Limited,Full inspection,27/02/2019,22/03/2019,10049790,Outstanding,Outstanding,Outstanding
Children's home,08/06/2005,Active,North West,North West,St Helens,St Helens North,Private,Building Bridges Care Homes Ltd,Full inspection,12/12/2018,16/01/2019,10049800,Outstanding,Outstanding,Outstanding
Children's home,14/03/2005,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Educare Adolescent Services Limited,Monitoring inspection,12/09/2018,05/10/2018,10078170,,,
Children's home,14/03/2005,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Educare Adolescent Services Limited,Full inspection,30/07/2018,17/09/2018,10049777,Inadequate,Inadequate,Inadequate
Children's home,14/03/2005,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Educare Adolescent Services Limited,Full inspection,16/10/2018,08/11/2018,10078169,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,07/02/2005,Active,North West,North West,Wirral,Wallasey,Private,Good Foundations Limited,Full inspection,19/12/2018,11/01/2019,10049772,Good,Good,Good
Children's home,16/03/2005,Active,West Midlands,West Midlands,Telford and Wrekin,Telford,Private,Family Care Associates Limited,Full inspection,19/02/2019,08/03/2019,10049779,Good,Good,Good
Children's home,17/01/2005,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Crossway Services Limited,Interim inspection,28/02/2019,08/04/2019,10051516,Sustained effectiveness,,
Children's home,17/01/2005,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Crossway Services Limited,Full inspection,17/05/2018,11/06/2018,10049766,Good,Good,Good
Children's home,22/03/2005,Active,North West,North West,St Helens,St Helens North,Local Authority,St Helens Metropolitan Borough Council,Full inspection,11/07/2018,07/08/2018,10049782,Good,Good,Good
Independent Fostering Agency,03/06/2005,Active,East of England,East of England,Central Bedfordshire,Mid Bedfordshire,Private,Fostering Options Limited,Full inspection,18/03/2019,16/04/2019,10045663,Good,Good,Good
Children's home,09/05/2005,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Future In Mind,Full inspection,26/11/2018,13/12/2018,10049795,Good,Good,Good
Children's home,21/02/2005,Active,North West,North West,Sefton,Southport,Private,After Care (N W) Limited,Full inspection,04/09/2018,04/10/2018,10049773,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,16/12/2005,Active,North West,North West,Manchester,;Manchester, Gorton;,Local Authority,Manchester City Council,Full inspection,14/08/2018,03/09/2018,10049845,Good,Good,Good
Children's home,29/09/2005,Active,South East,South East,Kent,Dartford,Private,The Drive Care Homes Ltd,Full inspection,31/07/2018,29/08/2018,10049826,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/03/2005,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Horizon Care Limited,Full inspection,02/08/2018,22/08/2018,10049780,Outstanding,Good,Outstanding
Children's home,22/06/2005,Active,South East,South East,Hampshire,New Forest East,Private,New Forest Care Ltd,Monitoring inspection,05/07/2018,30/07/2018,10055280,,,
Children's home,22/06/2005,Active,South East,South East,Hampshire,New Forest East,Private,New Forest Care Ltd,Interim inspection,21/01/2019,13/03/2019,10054495,Sustained effectiveness,,
Children's home,22/06/2005,Active,South East,South East,Hampshire,New Forest East,Private,New Forest Care Ltd,Full inspection,23/05/2018,27/06/2018,10049804,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,22/06/2005,Active,South East,South East,Hampshire,New Forest East,Private,New Forest Care Ltd,Monitoring inspection,18/04/2018,04/05/2018,10051804,,,
Children's home,11/05/2005,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Esland North Limited,Full inspection,10/10/2018,30/10/2018,10049797,Good,Good,Good
Children's home,13/06/2005,Active,West Midlands,West Midlands,Staffordshire,Lichfield,Private,Dmr Services Ltd,Full inspection,26/06/2018,24/07/2018,10049801,Good,Good,Good
Children's home,13/06/2005,Active,West Midlands,West Midlands,Staffordshire,Lichfield,Private,Dmr Services Ltd,Interim inspection,12/03/2019,23/04/2019,10084494,Declined effectiveness,,
Children's home,11/07/2005,Active,East of England,East of England,Norfolk,North West Norfolk,Voluntary,Break,Full inspection,18/09/2018,04/10/2018,10049809,Good,Good,Requires improvement to be good
Children's home,24/08/2005,Active,West Midlands,West Midlands,Walsall,Walsall South,Local Authority,Walsall Metropolitan Borough Council,Full inspection,29/01/2019,01/03/2019,10049814,Outstanding,Outstanding,Outstanding
Children's home,01/04/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Dewsbury,Private,Keys Childcare Ltd,Full inspection,13/02/2019,21/03/2019,10049783,Outstanding,Outstanding,Outstanding
Children's home,28/04/2005,Active,East Midlands,East Midlands,Nottinghamshire,Sherwood,Private,Castle Homes Care Ltd,Interim inspection,04/02/2019,19/02/2019,10051522,Improved effectiveness,,
Children's home,28/04/2005,Active,East Midlands,East Midlands,Nottinghamshire,Sherwood,Private,Castle Homes Care Ltd,Full inspection,10/04/2018,30/04/2018,10049791,Good,Good,Good
Children's home,09/05/2005,Active,North West,North West,Lancashire,Hyndburn,Private,Keys Childcare Ltd,Full inspection,09/07/2018,27/07/2018,10049796,Good,Good,Good
Children's home,01/04/2005,Active,East Midlands,East Midlands,Leicestershire,Bosworth,Private,Keys Childcare Ltd,Monitoring inspection,26/10/2018,04/12/2018,10081332,,,
Children's home,11/04/2005,Active,South East,South East,East Sussex,Hastings and Rye,Private,My Choice Children's Homes Ltd,Full inspection,20/02/2019,20/03/2019,10049786,Good,Good,Good
Children's home,03/05/2005,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Delam Care Limited,Full inspection,15/01/2019,26/02/2019,10049792,Outstanding,Outstanding,Outstanding
Children's home,14/06/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Huddersfield,Private,Broadwood Residential Limited,Full inspection,01/08/2018,31/08/2018,10049802,Good,Good,Good
Children's home,14/06/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Huddersfield,Private,Broadwood Residential Limited,Interim inspection,16/01/2019,01/02/2019,10051524,Improved effectiveness,,
Children's home,20/12/2004,Active,South East,South East,Kent,Ashford,Voluntary,The Caldecott Foundation Limited,Full inspection,14/02/2019,18/03/2019,10049760,Outstanding,Good,Outstanding
Children's home,25/08/2005,Active,West Midlands,West Midlands,Coventry,Coventry North East,Private,Progress Children's Services,Full inspection,02/05/2018,29/05/2018,10049816,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,28/06/2005,Active,London,London,Redbridge,Ilford South,Private,Lodge Group Care UK Limited,Full inspection,15/10/2018,06/11/2018,10049806,Good,Good,Good
Children's home,12/05/2005,Active,North West,North West,Wigan,Wigan,Private,Active 8 Care Ltd,Full inspection,15/05/2018,11/06/2018,10049798,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,12/05/2005,Active,North West,North West,Wigan,Wigan,Private,Active 8 Care Ltd,Interim inspection,07/02/2019,27/02/2019,10051523,Not judged,,
Children's home,28/12/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Penistone and Stocksbridge,Private,Dove Adolescent Services Limited,Full inspection,09/10/2018,02/11/2018,10049848,Good,Good,Good
Children's home,28/09/2005,Active,South West,South West,Devon,Tiverton and Honiton,Private,Willows (Devon) Limited,Full inspection,24/10/2018,07/11/2018,10049825,Good,Good,Good
Children's home,11/01/2006,Active,North West,North West,Lancashire,Hyndburn,Private,Keys Child Care Limited,Full inspection,07/06/2018,05/07/2018,10049853,Good,Good,Good
Children's home,21/11/2005,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Time-Out Children's Homes Ltd,Full inspection,01/08/2018,21/08/2018,10049839,Good,Good,Good
Children's home,04/10/2005,Active,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Private,4d Care Ltd,Full inspection,25/02/2019,12/03/2019,10049829,Good,Good,Good
Children's home,20/06/2005,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Crossway Services Limited,Full inspection,09/01/2019,05/02/2019,10049803,Good,Good,Good
Children's home,15/08/2005,Active,North West,North West,Sefton,Sefton Central,Private,Mr Jim Buchanan & Mrs Ivy Thompson,Full inspection,12/06/2018,28/06/2018,10049813,Good,Good,Inadequate
Children's home,21/03/2006,Active,North West,North West,Manchester,Blackley and Broughton,Private,Cambian Childcare Limited,Full inspection,07/06/2018,27/06/2018,10049874,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,27/09/2005,Active,North West,North West,Lancashire,Pendle,Local Authority,Lancashire County Council,Full inspection,03/07/2018,22/08/2018,10049824,Good,Requires improvement to be good,Good
Children's home,07/07/2005,Active,North West,North West,Rochdale,Heywood and Middleton,Private,Meadows Care Ltd,Full inspection,24/07/2018,14/08/2018,10049808,Good,Good,Good
Children's home,24/06/2005,Active,North West,North West,Salford,Salford and Eccles,Local Authority,Salford City Council,Interim inspection,21/02/2019,14/03/2019,10051525,Sustained effectiveness,,
Children's home,24/06/2005,Active,North West,North West,Salford,Salford and Eccles,Local Authority,Salford City Council,Monitoring inspection,03/07/2018,17/07/2018,10054821,,,
Children's home,24/06/2005,Active,North West,North West,Salford,Salford and Eccles,Local Authority,Salford City Council,Full inspection,09/05/2018,08/06/2018,10049805,Inadequate,Inadequate,Inadequate
Children's home,24/06/2005,Active,North West,North West,Salford,Salford and Eccles,Local Authority,Salford City Council,Full inspection,11/09/2018,04/10/2018,10054822,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Independent Fostering Agency,23/12/2005,Active,London,London,Enfield,Enfield North,Private,Talawa Fostering Services Limited,Full inspection,06/08/2018,17/09/2018,10045626,Good,Good,Good
Children's home,22/09/2005,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Darlington,Private,Pear Tree Projects Limited,Full inspection,10/09/2018,08/10/2018,10049822,Good,Good,Good
Children's home,28/12/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley East,Private,Dove Adolescent Services Limited,Full inspection,11/09/2018,27/09/2018,10049849,Good,Good,Good
Independent Fostering Agency,28/09/2005,Active,East of England,East of England,Essex,Saffron Walden,Private,Compass Fostering East Limited,Full inspection,29/10/2018,21/11/2018,10045716,Good,Good,Good
Children's home,16/09/2005,Active,South West,South West,Bournemouth,Bournemouth East,Private,Beaufort Care Group,Interim inspection,11/02/2019,07/03/2019,10051527,Sustained effectiveness,,
Children's home,16/09/2005,Active,South West,South West,Bournemouth,Bournemouth East,Private,Beaufort Care Group,Full inspection,19/06/2018,27/07/2018,10049821,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,22/02/2006,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Local Authority,Stoke on Trent City Council,Full inspection,17/07/2018,09/08/2018,10049866,Outstanding,Outstanding,Outstanding
Children's home,01/09/2005,Active,North West,North West,Salford,Salford and Eccles,Local Authority,Salford City Council,Full inspection,25/10/2018,20/11/2018,10049819,Good,Good,Good
Residential special school (registered as a children's home),31/10/2005,Active,East Midlands,East Midlands,Rutland,Rutland and Melton,Private,Hopscotch Solutions Limited,Full inspection,08/05/2018,24/05/2018,10049836,Outstanding,Outstanding,Outstanding
Residential special school (registered as a children's home),31/10/2005,Active,East Midlands,East Midlands,Rutland,Rutland and Melton,Private,Hopscotch Solutions Limited,Interim inspection,05/03/2019,21/03/2019,10051854,Declined effectiveness,,
Children's home,24/08/2005,Active,North West,North West,Rochdale,Rochdale,Private,Time-Out Children's Homes Ltd,Full inspection,11/12/2018,15/01/2019,10049815,Outstanding,Outstanding,Good
Residential Special School,27/06/2005,Active,East Midlands,East Midlands,Lincolnshire,Louth and Horncastle,Academy,Lincolnshire Wolds Community Trust,Full inspection,17/07/2018,16/08/2018,10045691,Good,Good,Good
Children's home,18/07/2005,Active,South East,South East,Kent,Ashford,Voluntary,The Caldecott Foundation Limited,Full inspection,04/12/2018,02/01/2019,10049810,Good,Good,Good
Children's home,05/09/2005,Active,North West,North West,Rochdale,Heywood and Middleton,Private,Meadows Care Ltd,Full inspection,11/07/2018,27/07/2018,10049820,Outstanding,Outstanding,Outstanding
Residential special school (registered as a children's home),26/10/2005,Active,South West,South West,Dorset,South Dorset,Private,Cambian Autism Services Limited,Interim inspection,09/01/2019,08/02/2019,10051530,Sustained effectiveness,,
Residential special school (registered as a children's home),26/10/2005,Active,South West,South West,Dorset,South Dorset,Private,Cambian Autism Services Limited,Full inspection,17/07/2018,18/09/2018,10049835,Requires improvement to be good,Good,Requires improvement to be good
Children's home,30/11/2005,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Wansbeck,Private,Howard House Care Limited,Full inspection,22/01/2019,25/02/2019,10049840,Good,Good,Good
Children's home,03/10/2005,Active,North West,North West,Blackpool,Blackpool North and Cleveleys,Private,Sandcastle Care Ltd,Full inspection,11/07/2018,08/08/2018,10049828,Outstanding,Good,Outstanding
Independent Fostering Agency,24/10/2005,Active,North West,North West,Rochdale,Heywood and Middleton,Private,Capstone Foster Care (North) Ltd,Full inspection,18/02/2019,01/04/2019,10046671,Outstanding,Outstanding,Outstanding
Children's home,03/08/2005,Active,North West,North West,Stockport,Stockport,Private,Care Haven (UK) Ltd,Full inspection,18/07/2018,06/08/2018,10049812,Good,Good,Good
Children's home,14/12/2005,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Yardley;,Private,Castle Homes Care Ltd,Full inspection,06/11/2018,27/12/2018,10049843,Good,Good,Good
Residential special school (registered as a children's home),22/12/2005,Active,South West,South West,Devon,South West Devon,Voluntary,Dame Hannah Roger's School,Full inspection,10/07/2018,14/08/2018,10049847,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,14/11/2005,Active,London,London,Wandsworth,Tooting,Local Authority,Wandsworth Borough Council,Full inspection,30/05/2018,25/06/2018,10049838,Good,Good,Good
Children's home,25/08/2005,Active,South East,South East,Kent,Dover,Private,Ethelbert Specialist Homes Limited,Full inspection,26/02/2019,02/04/2019,10049817,Good,Good,Good
Children's home,30/09/2005,Active,London,London,Lambeth,Dulwich and West Norwood,Private,S P Homes Limited,Full inspection,06/08/2018,04/09/2018,10049827,Good,Good,Good
Children's home,02/11/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford South,Local Authority,Bradford Childrens Specialist Service,Full inspection,24/07/2018,17/08/2018,10049837,Inadequate,Inadequate,Inadequate
Children's home,02/11/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford South,Local Authority,Bradford Childrens Specialist Service,Full inspection,16/10/2018,08/11/2018,10061033,Requires improvement to be good,Good,Good
Children's home,24/10/2005,Active,East Midlands,East Midlands,Derbyshire,High Peak,Local Authority,Derbyshire County Council,Full inspection,13/09/2018,01/10/2018,10049833,Outstanding,Outstanding,Outstanding
Children's home,24/11/2006,Active,West Midlands,West Midlands,Staffordshire,Stafford,Local Authority,Staffordshire County Council,Full inspection,01/08/2018,17/09/2018,10049922,Outstanding,Outstanding,Outstanding
Children's home,14/12/2005,Active,South East,South East,Kent,Sevenoaks,Private,J & R Care Limited,Full inspection,18/09/2018,11/10/2018,10049844,Good,Good,Good
Children's home,23/02/2006,Active,East Midlands,East Midlands,Derby,Derby North,Local Authority,Derby City Council,Full inspection,02/01/2019,18/01/2019,10049867,Good,Requires improvement to be good,Requires improvement to be good
Children's home,09/11/2006,Active,North West,North West,Wirral,Wirral South,Private,Milestones Care Homes Ltd,Full inspection,03/07/2018,23/07/2018,10049917,Good,Good,Good
Children's home,25/10/2005,Active,North West,North West,Wirral,Wallasey,Private,Good Foundations Limited,Interim inspection,07/02/2019,06/03/2019,10051529,Sustained effectiveness,,
Children's home,25/10/2005,Active,North West,North West,Wirral,Wallasey,Private,Good Foundations Limited,Monitoring inspection,17/04/2018,04/05/2018,10052551,,,
Children's home,25/10/2005,Active,North West,North West,Wirral,Wallasey,Private,Good Foundations Limited,Full inspection,19/06/2018,05/07/2018,10049834,Good,Good,Good
Children's home,06/10/2005,Active,East of England,East of England,Norfolk,Mid Norfolk,Voluntary,Institute of Integrated Systemic Therapy,Full inspection,09/01/2019,28/01/2019,10049831,Outstanding,Outstanding,Outstanding
Children's home,04/01/2006,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Hodge Hill;,Private,Cambian Childcare Limited,Full inspection,08/01/2019,28/01/2019,10049851,Good,Good,Good
Children's home,14/10/2005,Active,East of England,East of England,Norfolk,Norwich North,Local Authority,Norfolk County Council Children's Services,Full inspection,12/11/2018,30/11/2018,10049832,Good,Good,Good
Children's home,21/02/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,;Sheffield, Heeley;,Private,Quality Protects Children Ltd,Interim inspection,06/02/2019,27/02/2019,10051534,Sustained effectiveness,,
Children's home,21/02/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,;Sheffield, Heeley;,Private,Quality Protects Children Ltd,Full inspection,29/05/2018,25/06/2018,10049864,Good,Good,Good
Children's home,26/09/2005,Active,South East,South East,East Sussex,Eastbourne,Private,Anderida Adolescent Care,Full inspection,09/08/2018,31/08/2018,10049823,Good,Good,Outstanding
Children's home,27/02/2006,Active,South West,South West,Somerset,Taunton Deane,Local Authority,Somerset County Council,Full inspection,04/07/2018,30/07/2018,10049869,Good,Good,Outstanding
Children's home,27/01/2006,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Meadows Care Ltd,Full inspection,26/06/2018,24/07/2018,10049856,Good,Good,Requires improvement to be good
Children's home,31/05/2006,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Alliance Care & Education Limited,Full inspection,15/05/2018,07/06/2018,10049886,Good,Good,Good
Children's home,12/12/2005,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Local Authority,Leeds City Council,Full inspection,03/10/2018,26/10/2018,10049842,Outstanding,Outstanding,Outstanding
Children's home,13/10/2006,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Hexham,Private,Cambian Childcare Limited,Full inspection,29/08/2018,03/10/2018,10049912,Outstanding,Outstanding,Outstanding
Children's home,19/05/2006,Active,South East,South East,Kent,South Thanet,Private,Fairport Care Services Ltd,Full inspection,14/05/2018,08/06/2018,10049883,Inadequate,Inadequate,Inadequate
Children's home,19/05/2006,Active,South East,South East,Kent,South Thanet,Private,Fairport Care Services Ltd,Full inspection,15/08/2018,13/09/2018,10067835,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,19/05/2006,Active,South East,South East,Kent,South Thanet,Private,Fairport Care Services Ltd,Monitoring inspection,25/09/2018,22/10/2018,10077809,,,
Children's home,19/05/2006,Active,South East,South East,Kent,South Thanet,Private,Fairport Care Services Ltd,Monitoring inspection,03/07/2018,25/07/2018,10055777,,,
Children's home,28/02/2006,Active,South East,South East,Medway,Gillingham and Rainham,Local Authority,Medway Council,Full inspection,13/11/2018,14/12/2018,10049870,Good,Good,Requires improvement to be good
Children's home,09/02/2006,Active,South West,South West,Devon,North Devon,Private,Phoenix Child Care Limited,Full inspection,02/10/2018,18/10/2018,10049859,Good,Good,Requires improvement to be good
Children's home,04/01/2006,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Northfield;,Private,Cambian Childcare Limited,Full inspection,06/02/2019,26/02/2019,10049852,Outstanding,Outstanding,Outstanding
Children's home,21/06/2006,Active,South East,South East,Kent,North Thanet,Private,Ethelbert Specialist Homes Limited,Full inspection,11/12/2018,11/01/2019,10049889,Good,Good,Outstanding
Children's home,06/02/2006,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Cambian Childcare Limited,Full inspection,19/02/2019,08/03/2019,10049857,Outstanding,Outstanding,Outstanding
Children's home,09/02/2006,Active,West Midlands,West Midlands,Walsall,Walsall North,Local Authority,Walsall Metropolitan Borough Council,Interim inspection,25/02/2019,14/03/2019,10051532,Sustained effectiveness,,
Children's home,09/02/2006,Active,West Midlands,West Midlands,Walsall,Walsall North,Local Authority,Walsall Metropolitan Borough Council,Full inspection,24/04/2018,17/05/2018,10049860,Requires improvement to be good,Requires improvement to be good,Good
Children's home,15/03/2006,Active,North West,North West,St Helens,St Helens North,Private,Essandore Limited,Full inspection,06/12/2018,11/01/2019,10049872,Good,Good,Good
Children's home,30/03/2006,Active,North West,North West,Sefton,Sefton Central,Private,Progressive Futures Care Limited,Full inspection,22/01/2019,28/02/2019,10049875,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,01/12/2005,Active,South West,South West,Bristol,Bristol East,Private,Headway Adolescent Resources Limited,Full inspection,02/10/2018,22/10/2018,10049841,Outstanding,Outstanding,Outstanding
Children's home,16/02/2006,Active,South East,South East,Hampshire,Basingstoke,Local Authority,Hampshire County Council,Full inspection,10/07/2018,02/08/2018,10049863,Good,Good,Requires improvement to be good
Children's home,18/01/2006,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Hodge Hill;,Private,Cambian Childcare Limited,Full inspection,05/12/2018,27/12/2018,10049855,Good,Good,Outstanding
Independent Fostering Agency,31/03/2006,Active,London,London,Harrow,Harrow West,Private,Nexus Fostering Ltd,Full inspection,08/10/2018,13/11/2018,10045666,Outstanding,Outstanding,Outstanding
Children's home,01/03/2006,Active,North West,North West,Lancashire,Lancaster and Fleetwood,Private,Roc Northwest Ltd,Full inspection,26/06/2018,17/07/2018,10049871,Good,Good,Requires improvement to be good
Children's home,30/03/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds North East,Private,Pebbles Care,Interim inspection,03/01/2019,29/01/2019,10055551,Improved effectiveness,,
Children's home,30/03/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds North East,Private,Pebbles Care,Full inspection,19/06/2018,11/07/2018,10049876,Good,Good,Requires improvement to be good
Children's home,21/02/2006,Active,South East,South East,West Sussex,Crawley,Private,The Cuckfield Care Consultancy Limited,Full inspection,31/05/2018,28/06/2018,10049865,Outstanding,Good,Outstanding
Children's home,12/01/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,Penistone and Stocksbridge,Private,Keys Childcare Ltd,Full inspection,19/02/2019,14/03/2019,10049854,Good,Good,Good
Children's home,26/02/2006,Active,South East,South East,Hampshire,Fareham,Private,Fairways Care (uk) Limited,Full inspection,11/07/2018,02/08/2018,10049868,Requires improvement to be good,Requires improvement to be good,Inadequate
Residential Family Centre,10/02/2006,Active,South West,South West,Somerset,Taunton Deane,Private,Orchard House Family Assessment Centre Limited,Full inspection,20/06/2018,18/07/2018,10045738,Good,Good,Good
Children's home,15/02/2006,Active,North West,North West,Rochdale,Rochdale,Private,Meadows Care Ltd,Interim inspection,12/03/2019,05/04/2019,10051533,Sustained effectiveness,,
Children's home,15/02/2006,Active,North West,North West,Rochdale,Rochdale,Private,Meadows Care Ltd,Full inspection,04/07/2018,27/07/2018,10049862,Good,Good,Requires improvement to be good
Residential special school (registered as a children's home),18/07/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Lincolnshire,Cleethorpes,Private,New Options Limited,Full inspection,22/01/2019,14/02/2019,10049893,Good,Good,Good
Independent Fostering Agency,25/01/2006,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Safehouses North Limited,Full inspection,19/11/2018,12/12/2018,10045956,Outstanding,Outstanding,Outstanding
Children's home,30/03/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,Sheffield South East,Local Authority,Sheffield City Council,Full inspection,13/06/2018,04/07/2018,10049878,Requires improvement to be good,Good,Good
Children's home,30/03/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,Sheffield South East,Local Authority,Sheffield City Council,Interim inspection,12/02/2019,05/03/2019,10051536,Improved effectiveness,,
Children's home,06/02/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,Wakefield,Local Authority,Wakefield Metropolitan District Council,Full inspection,26/02/2019,25/03/2019,10049858,Good,Good,Outstanding
Residential special school (registered as a children's home),18/04/2006,Active,North West,North West,Cumbria,Westmorland and Lonsdale,Private,Cambian Whinfell School Ltd,Full inspection,29/01/2019,27/02/2019,10049880,Outstanding,Good,Outstanding
